nombre_pdf,nombre_comercial,ruc,plazo_contrato,vigencia_hoy,ren_automatica,fecha_firma,inicio_suministro,fin_suministro,potencia_hp,potencia_hfp,precio_potencia,unidad_precio_potencia,precio_energia,unidad_precio_energia,costo_energia,costo_potencia
ATRE_20102262361_20240314_7930_00,Unionplast S. A.,20102262361,1004,True,5,14/03/2024,01/04/2024,31/12/2026,205,205,7.0,kWm,49.0,MWh,,
ATRE_20104508023_20240404_7954_00,Agropecuaria Rio Bravo Hermanos S.A.C.,20104508023,729,True,5,04/04/2024,01/05/2024,30/04/2026,205,205,6.989135520091491,kWm,55.93387742371472,kWh,,
ATRE_20106026883_20240401_7957_00,Farmacológicos Veterinarios S.A.C.,20106026883,729,True,0,01/04/2024,01/04/2024,31/03/2026,205,205,6.490097208504444,kWm,54.92020585330352,kWh,,
ATRE_20107012011_20240326_7940_00,Maersk Logistics & Services Peru S.A.,20107012011,1094,True,3,26/03/2024,01/04/2024,31/03/2027,210,210,7.0,kWm,68.0,MWh,,
ATRE_20324737171_20240520_8032_00,Campos del Sur S.A.,20324737171,1186,True,5,20/05/2024,01/10/2024,31/12/2027,205,205,7.0,kWm,58.0,MWh,,
ATRE_20438252089_20240327_7951_00,Piladora La Merced S.R.L.,20438252089,1735,True,5,27/03/2024,01/04/2024,31/12/2028,210,210,6.69802983833238,kWm,0.07707225081295882,kWm,,
ATRE_20503497990_20240507_8021_00,Eurogroup S.A.C.,20503497990,1094,True,0,07/05/2024,01/01/2025,31/12/2027,350,350,16.41714285714286,kWm,48.5,MWh,,
ATRE_20509654060_20240506_8020_00,ltni Investments S.A.C.,20509654060,1705,True,5,06/05/2024,01/05/2024,31/12/2028,210,210,4.267074610683283,kWm,46.80823413214119,kWh,,
ATRE_20519388104_20240326_7941_00,Tintoreria Perú Cotor S.A.C.,20519388104,1460,True,5,26/03/2024,01/01/2025,31/12/2028,210,210,7.0,kWm,52.0,MWh,,
ATRE_20536893530_20240326_7939_00,E & K Asociados S.A.C.,20536893530,394,True,5,26/03/2024,01/04/2024,30/04/2025,205,205,7.0,kWm,52.0,MWh,,
ATRE_20100064571_20240624_8114_00,Industrias Nettalco S.A.,20100064571,913,True,0,24/06/2024,01/07/2024,31/12/2026,1550,1550,16.41714285714286,kWm,48.0,MWh,,
ATRE_20602130992_20240624_8112_00,JUNTA DE PROPIETARIOS DE LA TORRE I,20602130992,1644,True,1,24/06/2024,01/07/2024,31/12/2028,1650,2400,16.41714285714286,kWm,47.0,MWh,,
ATRE_20522536599_20240624_8115_00,T & T FRUITS S.A.,20522536599,1460,True,1,05/06/2024,01/01/2025,31/12/2028,590,590,16.41714285714286,kWm,48.0,MWh,,
ATRE_20601624983_20240531_8080_00,Ladrillos Norton S.A.C.,20601624983,578,True,0,31/05/2024,01/06/2024,31/12/2025,210,210,4.267074610683283,kWm,0.0784079291642841,kWm,,
ATRE_20482520953_20240226_7878_00,Molinos del Norte Fray Martin S.A.C.,20482520953,699,True,5,26/02/2024,01/02/2024,31/12/2025,210,210,6.69802983833238,kWm,62.197847897281285,kWh,,
ATRE_20482126112_20240226_7802_00,Molino El Comanche S.R.L.,20482126112,699,True,5,26/02/2024,01/02/2024,31/12/2025,210,210,25.77,kWm,239.3,kWh,,
ATRE_20511131287_20240220_7877_00,Jeshua Adonai S.A.C.,20511131287,364,True,0,20/02/2024,01/01/2025,31/12/2025,1000,1000,7.0,kWm,53.0,MWh,,
ATRE_20195011169_20231229_8008_00,Alusud Perú S.A.,20195011169,699,True,2,29/12/2023,01/02/2024,31/12/2025,210,210,7.0,kWm,56.0,MWh,,
ATRE_20569268444_20231229_7682_00,Group Corporation Reye's S.A.C.,20569268444,730,True,5,29/12/2023,01/01/2024,31/12/2025,210,210,6.69802983833238,kWm,60.27447107137288,kWh,,
ATRE_20156930963_20231228_7668_00,Empresa De Transportes Y Servicios Virgen De La Puerta S.A.,20156930963,730,True,5,28/12/2023,01/01/2024,31/12/2025,201,201,6.73181889067942,kWm,55.77792795134376,kWh,,
