nombre_pdf,nombre_comercial,ruc,plazo_contrato,vigencia_hoy,ren_automatica,fecha_firma,inicio_suministro,fin_suministro,potencia_hp,potencia_hfp,precio_potencia,unidad_precio_potencia,precio_energia,unidad_precio_energia,energia,costo_potencia
ATRE_20102262361_20240314_7930_00,Unionplast S A,20102262361,1004,True,5,14/03/2024,01/04/2024,31/12/2026,205,205,7.0,kWm,49.0,MWh,,
ATRE_20104508023_20240404_7954_00,Agropecuaria Rio Bravo Hermanos S.A.C.,20104508023,729,True,5,04/04/2024,01/05/2024,30/04/2026,205,205,7.039267015706807,kWm,56.33507853403142,MWh,,
ATRE_20106026883_20240401_7957_00,Farmacológicos Veterinarios S.A.C,20106026883,729,True,0,01/04/2024,01/04/2024,31/03/2026,205,205,6.536649214659686,kWm,55.31413612565445,MWh,,
ATRE_20107012011_20240326_7940_00,Maersk Logistics & Services Peru S.A.,20107012011,1094,True,3,26/03/2024,01/04/2024,31/03/2027,210,210,7.0,kWm,68.0,MWh,,
ATRE_20324737171_20240520_8032_00,Campos del Sur S.A.,20324737171,1186,True,5,20/05/2024,01/10/2024,31/12/2027,205,205,7.0,kWm,58.0,MWh,,
ATRE_20438252089_20240327_7951_00,Piladora La Merced S.R.L.,20438252089,1735,True,5,27/03/2024,01/04/2024,31/12/2028,210,210,6.7460732984293195,kWm,55.890052356020945,MWh,,
ATRE_20503497990_20240507_8021_00,Eurogroup S.A.C.,20503497990,1094,True,0,07/05/2024,01/01/2025,31/12/2027,350,350,-1.0,kWm,48.5,MWh,,
ATRE_20509654060_20240506_8020_00,ltni Investments S.A.C.,20509654060,1705,True,5,06/05/2024,01/05/2024,31/12/2028,210,210,-0.2617801047120419,kWm,47.14397905759163,MWh,,
ATRE_20519388104_20240326_7941_00,Tintoreria Perú Cotor S.A.C.,20519388104,1460,True,5,26/03/2024,01/01/2025,31/12/2028,210,210,7.0,kWm,52.0,MWh,,
ATRE_20536893530_20240326_7939_00,E & K Asociados S.A.C.,20536893530,394,True,5,26/03/2024,01/04/2024,30/04/2025,205,205,7.0,kWm,52.0,MWh,,
